name,rating,createdAt,address1,address2,address3,postCode,latitude,longitude
St. Paul's Centre,5,15/03/2024,St. Pauls Centre,St. Pauls Gate,St. Helier,JE2 3RL,49.185665,-2.110228
The Cabana,3,31/07/2024,11-11a Waterloo Street,St. Helier,,JE2 4WT,49.185226,-2.104861
The Lido,5,25/07/2025,Havre des Pas Bathing Pool,Havre des Pas,St. Helier,,49.176919,-2.102792
Vinifera,5,28/06/2024,4 Broad Street,St. Helier,,JE2 3RR,49.184035,-2.107455
General Hospital (HCS Catering),4,04/09/2025,Gloucester Street,St. Helier,,JE2 3QR,49.187144,-2.111804
The Spice of Life,5,15/02/2024,12 Sand Street,St. Helier,,JE2 3QF,49.18542,-2.11031
Fox & Thistle,5,27/08/2021,14½,Queen Street,Jersey,JE2 4WD,43.865135,-85.37849
Liberation Square Kiosk,4,21/08/2023,,,,,,
El Tico Cafe,4,04/04/2024,La Grande Route Des Mielles,St. Peter,,JE3 7FN,49.214849,-2.224828
Co-Op Locale - Colomberie,5,26/07/2024,22 La Colomberie,St. Helier,,JE2 4QB,49.183,-2.10194
Roseville Bistro,5,19/07/2025,86 Roseville Street,St. Helier,,JE2 4PL,49.178323,-2.101037
Sprigs Cafe,4,08/09/2022,Jersey Lavender Limited,La Rue du Pont Marquet,Jersey,JE3 8DS,39.119433,-90.327488
Charlie Farley's Kitchen,5,26/06/2025,Jack Falle Community Centre,Gordon Le Breton Close,St. Saviour,JE2 7PY,49.180342,-2.086771
St Andrew's Community Centre,5,03/10/2019,St. Andrews Church,Le Mont Cochon,Jersey,JE2 3JA,49.200905,-2.129541
Jersey Spartan Clubhouse,4,27/07/2022,La Grande Route de St. Clément,St. Clement,,JE2 6QN,49.173637,-2.056212
The Tiki Hut,4,26/07/2022,10 Wharf Street,St. Helier,,JE2 3NR,49.182951,-2.107887
Bouley Bay Beach Cafe,4,10/07/2024,Les Charrières de Boulay,Trinity,,JE3 5AS,49.237314,-2.085199
Molloy's Market Fruit & Veg Ltd,5,13/07/2023,114-116 Central Market,Halkett Place,Jersey,JE2 4WL,39.119433,-90.327488
"Cafe Connect, Highlands College",5,11/02/2025,Highlands College,College HIll,St. Saviour,JE4 9QA,49.194897,-2.090318
